,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Atemp Category,Windspeed Category,Hum Category,temperature_cat
1598,1599,2011-03-12,Springer,2011,March,2,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,65.0,12.998000000000001,0,14,14,Medium,Low,Very High,Rendah
1599,1600,2011-03-12,Springer,2011,March,3,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,65.0,16.997899999999998,1,6,7,Medium,Medium,Very High,Rendah
1600,1601,2011-03-12,Springer,2011,March,4,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,65.0,16.997899999999998,0,1,1,Medium,Medium,Very High,Rendah
1601,1602,2011-03-12,Springer,2011,March,5,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.9982000000000006,69.0,12.998000000000001,0,2,2,Medium,Low,Very High,Rendah
1602,1603,2011-03-12,Springer,2011,March,6,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-2.0013999999999985,75.0,16.997899999999998,2,2,4,Medium,Medium,Very High,Rendah
1603,1604,2011-03-12,Springer,2011,March,7,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,70.0,12.998000000000001,4,19,23,Medium,Low,Very High,Rendah
1604,1605,2011-03-12,Springer,2011,March,8,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.0015999999999998,65.0,11.0014,9,44,53,Medium,Low,Very High,Rendah
1605,1606,2011-03-12,Springer,2011,March,9,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",5.160000000000002,3.0014000000000003,65.0,7.0015,25,76,101,Medium,Low,Very High,Rendah
1606,1607,2011-03-12,Springer,2011,March,10,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,3.998000000000001,66.0,15.001299999999999,21,78,99,Medium,Medium,Very High,Rendah
1607,1608,2011-03-12,Springer,2011,March,11,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,3.998000000000001,49.0,22.0028,36,83,119,Medium,Medium,High,Rendah
1608,1609,2011-03-12,Springer,2011,March,12,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,53.0,19.0012,51,107,158,Medium,Medium,High,Rendah
1609,1610,2011-03-12,Springer,2011,March,13,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,5.997799999999998,51.0,23.9994,62,95,157,Medium,Medium,High,Rendah
1610,1611,2011-03-12,Springer,2011,March,14,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,50.0,30.002599999999997,70,96,166,High,High,High,Sedang
1611,1612,2011-03-12,Springer,2011,March,15,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,44.0,32.9975,81,101,182,High,High,High,Sedang
1612,1613,2011-03-12,Springer,2011,March,16,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,41.0,30.002599999999997,100,144,244,High,High,High,Sedang
1613,1614,2011-03-12,Springer,2011,March,17,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,44.0,22.0028,99,114,213,High,Medium,High,Sedang
1614,1615,2011-03-12,Springer,2011,March,18,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,54.0,11.0014,54,91,145,High,Low,High,Sedang
1615,1616,2011-03-12,Springer,2011,March,19,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,54.0,6.0032,26,86,112,High,Low,High,Sedang
1616,1617,2011-03-12,Springer,2011,March,20,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,57.99999999999999,7.0015,22,64,86,High,Low,High,Sedang
1617,1618,2011-03-12,Springer,2011,March,21,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,62.0,0.0,36,46,82,Medium,Low,Very High,Rendah
1618,1619,2011-03-12,Springer,2011,March,22,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,9.000800000000002,71.0,0.0,7,56,63,Medium,Low,Very High,Rendah
1619,1620,2011-03-12,Springer,2011,March,23,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,66.0,6.0032,11,38,49,Medium,Low,Very High,Rendah
1620,1621,2011-03-13,Springer,2011,March,0,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,62.0,7.0015,3,35,38,Medium,Low,Very High,Rendah
1621,1622,2011-03-13,Springer,2011,March,1,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,66.0,8.9981,10,23,33,Medium,Low,Very High,Rendah
1622,1623,2011-03-13,Springer,2011,March,3,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,76.0,8.9981,6,17,23,Medium,Low,Very High,Rendah
1623,1624,2011-03-13,Springer,2011,March,4,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,66.0,11.0014,4,9,13,Medium,Low,Very High,Rendah
1624,1625,2011-03-13,Springer,2011,March,5,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,62.0,8.9981,0,3,3,Medium,Low,Very High,Rendah
1625,1626,2011-03-13,Springer,2011,March,6,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,7.9975999999999985,66.0,0.0,0,2,2,Medium,Low,Very High,Rendah
1626,1627,2011-03-13,Springer,2011,March,7,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,62.0,12.998000000000001,2,8,10,Medium,Low,Very High,Rendah
1627,1628,2011-03-13,Springer,2011,March,8,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,50.0,19.999499999999998,11,23,34,High,Medium,High,Sedang
1628,1629,2011-03-13,Springer,2011,March,9,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,50.0,27.999299999999998,8,36,44,High,High,High,Sedang
1629,1630,2011-03-13,Springer,2011,March,10,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,47.0,16.997899999999998,36,86,122,High,Medium,High,Sedang
1630,1631,2011-03-13,Springer,2011,March,11,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,41.0,27.999299999999998,88,93,181,High,High,High,Sedang
1631,1632,2011-03-13,Springer,2011,March,12,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,38.0,26.0027,74,120,194,High,Medium,Medium,Sedang
1632,1633,2011-03-13,Springer,2011,March,13,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,38.0,26.0027,97,124,221,High,Medium,Medium,Sedang
1633,1634,2011-03-13,Springer,2011,March,14,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,41.0,19.999499999999998,144,106,250,High,Medium,High,Sedang
1634,1635,2011-03-13,Springer,2011,March,15,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.559999999999999,15.0002,39.0,22.0028,149,155,304,High,Medium,Medium,Sedang
1635,1636,2011-03-13,Springer,2011,March,16,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.620000000000001,13.997,41.0,26.0027,124,132,256,High,Medium,High,Sedang
1636,1637,2011-03-13,Springer,2011,March,17,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,41.0,23.9994,98,143,241,High,Medium,High,Sedang
1637,1638,2011-03-13,Springer,2011,March,18,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,43.0,23.9994,55,92,147,High,Medium,High,Sedang
1638,1639,2011-03-13,Springer,2011,March,19,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,5.997799999999998,50.0,23.9994,28,73,101,Medium,Medium,High,Rendah
1639,1640,2011-03-13,Springer,2011,March,20,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,3.998000000000001,56.99999999999999,19.999499999999998,23,54,77,Medium,Medium,High,Rendah
1640,1641,2011-03-13,Springer,2011,March,21,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.0014000000000003,56.00000000000001,16.997899999999998,9,49,58,Medium,Medium,High,Rendah
1641,1642,2011-03-13,Springer,2011,March,22,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,1.9982000000000006,56.00000000000001,22.0028,8,29,37,Medium,Medium,High,Rendah
1642,1643,2011-03-13,Springer,2011,March,23,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.0015999999999998,65.0,15.001299999999999,5,23,28,Medium,Medium,Very High,Rendah
1643,1644,2011-03-14,Springer,2011,March,0,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.9982000000000006,65.0,7.0015,4,7,11,Medium,Low,Very High,Rendah
1644,1645,2011-03-14,Springer,2011,March,1,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,3.0014000000000003,65.0,6.0032,0,1,1,Medium,Low,Very High,Rendah
1645,1646,2011-03-14,Springer,2011,March,2,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,3.0014000000000003,65.0,6.0032,0,1,1,Medium,Low,Very High,Rendah
1646,1647,2011-03-14,Springer,2011,March,3,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.9982000000000006,65.0,8.9981,0,3,3,Medium,Low,Very High,Rendah
1647,1648,2011-03-14,Springer,2011,March,5,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.0015999999999998238,70.0,8.9981,0,8,8,Medium,Low,Very High,Rendah
1648,1649,2011-03-14,Springer,2011,March,6,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,1.9982000000000006,65.0,8.9981,1,27,28,Medium,Low,Very High,Rendah
1649,1650,2011-03-14,Springer,2011,March,7,No,Monday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,5.001199999999997,61.0,0.0,4,84,88,Medium,Low,Very High,Rendah
1650,1651,2011-03-14,Springer,2011,March,8,No,Monday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.998000000000001,56.00000000000001,8.9981,24,217,241,Medium,Low,High,Rendah
1651,1652,2011-03-14,Springer,2011,March,9,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,3.998000000000001,53.0,22.0028,13,127,140,Medium,Medium,High,Rendah
1652,1653,2011-03-14,Springer,2011,March,10,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,42.0,16.997899999999998,27,57,84,Medium,Medium,High,Rendah
1653,1654,2011-03-14,Springer,2011,March,11,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,5.997799999999998,40.0,16.997899999999998,26,45,71,Medium,Medium,Medium,Rendah
1654,1655,2011-03-14,Springer,2011,March,12,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,37.0,0.0,40,54,94,Medium,Low,Medium,Rendah
1655,1656,2011-03-14,Springer,2011,March,13,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,36.0,22.0028,24,51,75,Medium,Medium,Medium,Rendah
1656,1657,2011-03-14,Springer,2011,March,14,No,Monday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.86,9.997399999999999,34.0,0.0,27,52,79,Medium,Low,Medium,Rendah
1657,1658,2011-03-14,Springer,2011,March,15,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,37.0,11.0014,24,77,101,Medium,Low,Medium,Rendah
1658,1659,2011-03-14,Springer,2011,March,16,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,35.0,7.0015,27,80,107,High,Low,Medium,Sedang
1659,1660,2011-03-14,Springer,2011,March,17,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,40.0,12.998000000000001,42,229,271,Medium,Low,Medium,Rendah
1660,1661,2011-03-14,Springer,2011,March,18,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.9975999999999985,40.0,7.0015,25,210,235,Medium,Low,Medium,Rendah
1661,1662,2011-03-14,Springer,2011,March,19,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,43.0,8.9981,17,133,150,Medium,Low,High,Rendah
1662,1663,2011-03-14,Springer,2011,March,20,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.001199999999997,46.0,15.001299999999999,23,106,129,Medium,Medium,High,Rendah
1663,1664,2011-03-14,Springer,2011,March,21,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,46.0,8.9981,5,58,63,Medium,Low,High,Rendah
1664,1665,2011-03-14,Springer,2011,March,22,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.997799999999998,49.0,7.0015,4,43,47,Medium,Low,High,Rendah
1665,1666,2011-03-14,Springer,2011,March,23,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,7.000999999999998,53.0,0.0,2,17,19,Medium,Low,High,Rendah
1666,1667,2011-03-15,Springer,2011,March,0,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,7.000999999999998,53.0,0.0,7,7,14,Medium,Low,High,Rendah
1667,1668,2011-03-15,Springer,2011,March,1,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.998000000000001,62.0,6.0032,4,6,10,Medium,Low,Very High,Rendah
1668,1669,2011-03-15,Springer,2011,March,2,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.1,3.998000000000001,62.0,6.0032,1,2,3,Medium,Low,Very High,Rendah
1669,1670,2011-03-15,Springer,2011,March,4,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,1.0015999999999998,75.0,6.0032,1,1,2,Medium,Low,Very High,Rendah
1670,1671,2011-03-15,Springer,2011,March,5,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.9982000000000006,75.0,12.998000000000001,0,11,11,Medium,Low,Very High,Rendah
1671,1672,2011-03-15,Springer,2011,March,6,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,-0.9982000000000006,80.0,12.998000000000001,3,32,35,Medium,Low,Very High,Rendah
1672,1673,2011-03-15,Springer,2011,March,7,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,-0.0015999999999998238,75.0,11.0014,10,109,119,Medium,Low,Very High,Rendah
1673,1674,2011-03-15,Springer,2011,March,8,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.220000000000001,3.0014000000000003,70.0,6.0032,23,259,282,Medium,Low,Very High,Rendah
1674,1675,2011-03-15,Springer,2011,March,9,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.997799999999998,70.0,0.0,10,147,157,Medium,Low,Very High,Rendah
1675,1676,2011-03-15,Springer,2011,March,10,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.001199999999997,66.0,12.998000000000001,22,56,78,Medium,Low,Very High,Rendah
1676,1677,2011-03-15,Springer,2011,March,11,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.98,5.001199999999997,56.99999999999999,15.001299999999999,27,51,78,Medium,Medium,High,Rendah
1677,1678,2011-03-15,Springer,2011,March,12,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,7.000999999999998,50.0,15.001299999999999,32,70,102,Medium,Medium,High,Rendah
1678,1679,2011-03-15,Springer,2011,March,13,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,5.997799999999998,56.99999999999999,19.0012,23,74,97,Medium,Medium,High,Rendah
1679,1680,2011-03-15,Springer,2011,March,14,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.86,9.997399999999999,46.0,19.999499999999998,14,74,88,Medium,Medium,High,Rendah
1680,1681,2011-03-15,Springer,2011,March,15,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.86,9.997399999999999,43.0,19.0012,24,66,90,Medium,Medium,High,Rendah
1681,1682,2011-03-15,Springer,2011,March,16,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.86,9.997399999999999,46.0,22.0028,21,93,114,Medium,Medium,High,Rendah
1682,1683,2011-03-15,Springer,2011,March,17,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,7.000999999999998,62.0,12.998000000000001,22,195,217,Medium,Low,Very High,Rendah
1683,1684,2011-03-15,Springer,2011,March,18,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,5.997799999999998,62.0,19.999499999999998,18,207,225,Medium,Medium,Very High,Rendah
1684,1685,2011-03-15,Springer,2011,March,19,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.98,5.001199999999997,71.0,19.0012,14,138,152,Medium,Medium,Very High,Rendah
1685,1686,2011-03-15,Springer,2011,March,20,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.98,5.001199999999997,71.0,19.0012,9,79,88,Medium,Medium,Very High,Rendah
1686,1687,2011-03-15,Springer,2011,March,21,No,Tuesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",7.040000000000001,5.997799999999998,81.0,7.0015,2,53,55,Medium,Low,Extremely High,Rendah
1687,1688,2011-03-15,Springer,2011,March,22,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.001199999999997,87.0,11.0014,1,20,21,Medium,Low,Extremely High,Rendah
1688,1689,2011-03-15,Springer,2011,March,23,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.001199999999997,87.0,11.0014,1,17,18,Medium,Low,Extremely High,Rendah
1689,1690,2011-03-16,Springer,2011,March,0,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",6.1,3.0014000000000003,93.0,16.997899999999998,0,8,8,Medium,Medium,Extremely High,Rendah
1690,1691,2011-03-16,Springer,2011,March,1,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",6.1,1.9982000000000006,100.0,19.999499999999998,1,2,3,Medium,Medium,Extremely High,Rendah
1691,1692,2011-03-16,Springer,2011,March,3,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.160000000000002,1.9982000000000006,100.0,15.001299999999999,1,2,3,Medium,Medium,Extremely High,Rendah
1692,1693,2011-03-16,Springer,2011,March,4,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.998000000000001,93.0,11.0014,0,1,1,Medium,Low,Extremely High,Rendah
1693,1694,2011-03-16,Springer,2011,March,5,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.001199999999997,93.0,7.0015,0,3,3,Medium,Low,Extremely High,Rendah
1694,1695,2011-03-16,Springer,2011,March,6,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,5.001199999999997,93.0,7.0015,1,30,31,Medium,Low,Extremely High,Rendah
1695,1696,2011-03-16,Springer,2011,March,7,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.1,3.0014000000000003,93.0,12.998000000000001,10,101,111,Medium,Low,Extremely High,Rendah
1696,1697,2011-03-16,Springer,2011,March,8,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.001199999999997,93.0,0.0,26,227,253,Medium,Low,Extremely High,Rendah
1697,1698,2011-03-16,Springer,2011,March,9,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.040000000000001,5.997799999999998,93.0,8.9981,10,144,154,Medium,Low,Extremely High,Rendah
1698,1699,2011-03-16,Springer,2011,March,10,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,7.000999999999998,81.0,11.0014,19,49,68,Medium,Low,Extremely High,Rendah
1699,1700,2011-03-16,Springer,2011,March,11,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.919999999999998,7.000999999999998,81.0,8.9981,13,62,75,Medium,Low,Extremely High,Rendah
1700,1701,2011-03-16,Springer,2011,March,12,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,71.0,7.0015,23,65,88,High,Low,Very High,Sedang
1701,1702,2011-03-16,Springer,2011,March,13,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,76.0,8.9981,18,81,99,High,Low,Very High,Sedang
1702,1703,2011-03-16,Springer,2011,March,14,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,76.0,15.001299999999999,33,67,100,High,Medium,Very High,Sedang
1703,1704,2011-03-16,Springer,2011,March,15,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,76.0,16.997899999999998,22,79,101,High,Medium,Very High,Sedang
1704,1705,2011-03-16,Springer,2011,March,16,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,76.0,11.0014,30,121,151,High,Low,Very High,Sedang
1705,1706,2011-03-16,Springer,2011,March,17,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.68,13.000399999999999,54.0,19.999499999999998,37,216,253,High,Medium,High,Sedang
1706,1707,2011-03-16,Springer,2011,March,18,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.68,13.000399999999999,54.0,15.001299999999999,26,211,237,High,Medium,High,Sedang
1707,1708,2011-03-16,Springer,2011,March,19,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.68,13.000399999999999,51.0,22.0028,18,150,168,High,Medium,High,Sedang
1708,1709,2011-03-16,Springer,2011,March,20,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.739999999999998,11.997200000000003,54.0,19.999499999999998,10,111,121,High,Medium,High,Sedang
1709,1710,2011-03-16,Springer,2011,March,21,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.739999999999998,11.997200000000003,57.99999999999999,19.0012,3,75,78,High,Medium,High,Sedang
1710,1711,2011-03-16,Springer,2011,March,22,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,62.0,26.0027,11,48,59,High,Medium,Very High,Sedang
1711,1712,2011-03-16,Springer,2011,March,23,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,65.0,12.998000000000001,9,18,27,High,Low,Very High,Sedang
1712,1713,2011-03-17,Springer,2011,March,0,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,66.0,16.997899999999998,4,19,23,Medium,Medium,Very High,Rendah
1713,1714,2011-03-17,Springer,2011,March,1,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,71.0,15.001299999999999,1,11,12,Medium,Medium,Very High,Rendah
1714,1715,2011-03-17,Springer,2011,March,2,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,3.998000000000001,71.0,19.999499999999998,3,5,8,Medium,Medium,Very High,Rendah
1715,1716,2011-03-17,Springer,2011,March,3,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,66.0,11.0014,1,1,2,Medium,Low,Very High,Rendah
1716,1717,2011-03-17,Springer,2011,March,4,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.98,5.997799999999998,71.0,12.998000000000001,0,3,3,Medium,Low,Very High,Rendah
1717,1718,2011-03-17,Springer,2011,March,5,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.997799999999998,76.0,7.0015,0,13,13,Medium,Low,Very High,Rendah
1718,1719,2011-03-17,Springer,2011,March,6,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.001199999999997,76.0,12.998000000000001,4,47,51,Medium,Low,Very High,Rendah
1719,1720,2011-03-17,Springer,2011,March,7,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,5.997799999999998,76.0,8.9981,12,128,140,Medium,Low,Very High,Rendah
1720,1721,2011-03-17,Springer,2011,March,8,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,7.000999999999998,66.0,8.9981,17,282,299,Medium,Low,Very High,Rendah
1721,1722,2011-03-17,Springer,2011,March,9,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.8,11.000600000000002,62.0,16.997899999999998,23,162,185,High,Medium,Very High,Sedang
1722,1723,2011-03-17,Springer,2011,March,10,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,54.0,22.0028,9,69,78,High,Medium,High,Sedang
1723,1724,2011-03-17,Springer,2011,March,11,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.68,13.000399999999999,54.0,19.0012,20,66,86,High,Medium,High,Sedang
